id,title,titlePinyin,titleEnglish,notBefore,notAfter,dzt_date
KR2k0072,欽定河源紀略,Qīndìng Héyuán jìlüè,Imperially Endorsed Account of the Source of the Yellow River,1782,1782,
KR2k0073,崑崙河源考,Kūnlún Héyuán kǎo,Examination of the Kūn-lún and the Yellow River Source,1660,1702,
KR2k0074,兩河清彙,Liǎnghé qīnghuì,,1660,1680,
KR2k0075,居濟一得,Jūjì yīdé,A Single Insight from Living-at-Jì,1709,1715,
KR2k0076,治河奏績書,Zhìhé zòujì shū,Record of the Achievement of Yellow River Management,1677,1692,
KR2k0077,直隸河渠志,Zhílì héqú zhì,Treatise on the Rivers and Canals of Zhí-lì,1729,1742,
KR2k0078,行水金鑑,Xíngshuǐ jīnjiàn,Golden Mirror for Practical Hydraulic Engineering,1721,1725,
KR2k0079,水道提綱,Shuǐdào tígāng,Topical Outline of the Watercourses,1745,1761,
KR2k0080,海塘錄,Hǎitáng lù,Records of the Sea Embankment,1764,1765,
KR2k0081,籌海圖編,Chóuhǎi túbiān,Illustrated Compendium for Sea Defense,1561,1562,
KR2k0082,鄭開陽雜著,Zhèng Kāiyáng zázhù,Miscellaneous Writings of Zhèng Kāi-yáng,1556,1570,
KR2k0083,南嶽小錄,Nányuè xiǎolù,,902,902,
KR2k0084,廬山記,Lúshān jì,Records of Mt. Lú,1071,1074,
KR2k0085,赤松山志,Chìsōngshān zhì,Gazetteer of Mt. Chì-sōng,1265,1274,
KR2k0086,西湖遊覽志,Xīhú yóulǎn zhì,Records of Excursions on West Lake,1526,1547,
KR2k0087,桂勝,Guìshèng,,1613,1613,
KR2k0088,欽定盤山志,Qīndìng Pánshān zhì,Imperially Endorsed Gazetteer of Mt. Pán,1754,1755,
KR2k0089,西湖志纂,Xīhú zhìzuǎn,Compendious Gazetteer of West Lake,1751,1753,
KR2k0090,洛陽伽藍記,Luòyáng qiélán jì,Records of the Buddhist Monasteries of Luòyáng,547,547,
KR2k0091,吳地記,Wú dì jì,Records of the Wú Region,876,1008,
KR2k0092,長安志,Cháng'ān zhì,Gazetteer of Cháng'ān,1063,1077,
KR2k0093,洛陽名園記,Luòyáng míngyuán jì,Records of the Famous Gardens of Luòyáng,1095,1100,
KR2k0094,雍錄,Yōnglù,,1153,1195,
KR2k0095,洞霄圖志,Dòngxiāo túzhì,,1299,1306,
KR2k0096,長安志圖,Cháng'ān zhìtú,Maps for the Cháng'ān Gazetteer,1341,1346,
KR2k0097,汴京遺蹟志,Biànjīng yíjì zhì,,1546,1554,
KR2k0098,武林梵志,Wǔlín fànzhì,,1609,1620,
KR2k0099,江城名蹟,Jiāngchéng míngjì,,1644,1665,
KR2k0100,營平二州地名記,YíngPíng èrzhōu dìmíng jì,Records of the Place-Names of the Two Prefectures of Yíng and Píng,1660,1682,
KR2k0101,金鰲退食筆記,Jīnáo tuìshí bǐjì,,1684,1684,
KR2k0102,石柱記箋釋,Shízhù jì jiānshì,Annotated Edition of the Stone-Pillar Record,1701,1781,
KR2k0103,關中勝蹟圖志,Guānzhōng shèngjì túzhì,Illustrated Gazetteer of the Famous Sites of Guānzhōng,1776,1776,
KR2k0104,南方草木狀,Nánfāng cǎomù zhuàng,A Description of the Plants and Trees of the South,304,1100,
KR2k0105,荊楚嵗時記,JīngChǔ suìshí jì,Record of Seasonal Observances in the Jīng-Chǔ Region,540,565,
KR2k0106,北戶錄,Běihù lù,,869,875,
KR2k0107,桂林風土記,Guìlín fēngtǔ jì,Record of the Customs and Topography of Guìlín,899,899,
KR2k0108,嶺表錄異,Lǐngbiǎo lùyì,Records of the Strange Things Beyond the Ridges,900,950,
KR2k0109,益部方物略記,Yìbù fāngwù lüèjì,,1057,1057,
KR2k0110,岳陽風土記,Yuèyáng fēngtǔ jì,Record of the Customs and Topography of Yuè-yáng,1102,1110,
KR2k0111,東京夢華錄,Dōngjīng mènghuá lù,Records of a Dream of Splendours Past in the Eastern Capital,1147,1147,
KR2k0112,六朝事迹編類,Liùcháo shìjì biānlèi,,1160,1160,
KR2k0113,會稽三賦,Kuàijī sānfù,Three Rhapsodies on Kuài-jī,1166,1217,
KR2k0114,中吳紀聞,ZhōngWú jìwén,,1182,1182,
KR2k0115,桂海虞衡志,Guìhǎi yúhéng zhì,The Treatises of Guì-hǎi -- A Yú-héng Compendium,1175,1175,
KR2k0116,嶺外代答,Lǐngwài dàidá,"Answers from Beyond the Ridges, in Lieu of Replies",1178,1178,
KR2k0117,都城紀勝,Dūchéng jìshèng,,1235,1235,
KR2k0118,夢梁錄,Mèngliáng lù,,1274,1274,
KR2k0119,武林舊事,Wǔlín jiùshì,,1280,1290,
KR2k0120,增補武林舊事,Zēngbǔ Wǔlín jiùshì,Supplemented Wǔlín jiùshì,1634,1644,
KR2k0121,嵗華紀麗譜,Suìhuá jìlì pǔ,,1300,1350,
KR2k0122,吳中舊事,Wúzhōng jiùshì,,1330,1338,
KR2k0123,平江記事,Píngjiāng jìshì,,1340,1350,
KR2k0124,江漢叢談,JiāngHàn cóngtán,Discussions on Jiāng-Hàn Affairs,1544,1580,
KR2k0125,閩中海錯疏,Mǐnzhōng hǎicuò shū,Treatise on the Diverse Marine Creatures of Fú-jiàn,1596,1596,
KR2k0126,蜀中廣記,Shǔzhōng guǎngjì,Comprehensive Record of Sìchuān,1605,1620,
KR2k0127,益部談資,Yìbù tánzī,,1600,1620,
KR2k0128,顏山雜記,Yánshān zájì,Miscellaneous Notes on Mount Yán,1666,1666,
KR2k0129,嶺南風物記,Lǐngnán fēngwù jì,Record of the Customs and Products of Lǐng-nán,1670,1694,
KR2k0130,龍沙紀略,Lóngshā jìlüè,,1715,1717,
KR2k0131,臺海使槎錄,Táihǎi shǐchá lù,Records from the Embassy-Raft to the Tái-hǎi,1722,1724,
KR2k0132,東城雜記,Dōngchéng zájì,,1728,1728,
KR2k0133,遊城南記,Yóu Chéngnán jì,,1086,1086,
KR2k0134,河朔訪古記,Héshuò fǎnggǔ jì,Record of Antiquarian Visits in the Hé-shuò Region,1345,1345,
KR2k0135,徐霞客遊記,Xú Xiákè yóujì,Travel Records of Xú Xiá-kè,1613,1640,
KR2k0136,佛國記,Fóguó jì,Record of the Buddha-Lands,414,416,
KR2k0137,大唐西域記,Dà Táng Xīyù jì,Records of the Western Regions Compiled in the Great Táng,646,646,
KR2k0138,宣和奉使高麗圖經,Xuānhé fèngshǐ Gāolì tújīng,Illustrated Account of the Embassy to Koryŏ in the Xuān-hé Era,1124,1124,
KR2k0139,諸蕃志,Zhūfān zhì,Treatise on the Various Foreign Peoples,1225,1225,
KR2k0140,溪蠻叢笑,Xīmán cóngxiào,,1240,1270,
KR2k0141,眞臘風土記,Zhēnlà fēngtǔ jì,Record of the Customs of Cambodia,1297,1312,
KR2k0142,島夷誌略,Dǎoyí zhìlüè,Brief Treatise on the Island Foreign Peoples,1349,1351,
KR2k0143,朝鮮賦,Cháoxiān fù,A Rhapsody on Chosŏn (Korea),1488,1488,
KR2k0144,海語,Hǎi yǔ,Words of the Sea,1536,1536,
KR2k0145,東西洋考,Dōngxī yáng kǎo,Treatise on the Eastern and Western Oceans,1617,1617,
KR2k0146,職方外紀,Zhífāng wàijì,,1623,1623,
KR2k0147,赤雅,Chìyǎ,The Red-Earth Classic,1635,1640,
KR2k0148,朝鮮志,Cháoxiān zhì,Treatise on Chosŏn (Korea),1500,1600,
KR2k0149,皇清職貢圖,HuángQīng zhígòng tú,Illustrated Tribute-Bearers of the Imperial Qīng,1751,1763,
KR2k0150,坤輿圖說,Kūnyú túshuō,Illustrated Explanation of the Earth,1672,1672,
KR2k0151,異域錄,Yìyù lù,Record of a Strange Land,1715,1721,
KR2k0152,海國聞見錄,Hǎiguó wénjiàn lù,Record of Things Seen and Heard about the Maritime Countries,1730,1730,
KR2l,,,,,,
KR2l0001,唐六典,Táng liùdiǎn,Compendium of the Six Codes of the Táng,722,738,
KR2l0002,翰林志,Hànlín zhì,Treatise on the Hànlín Academy,819,819,
KR2l0003,麟臺故事,Líntái gùshì,Old Affairs of the Unicorn Pavilion (Imperial Library),1131,1131,
KR2l0004,翰苑羣書,Hànyuàn qúnshū,Collected Treatises on the Hànlín Academy,1173,1173,
KR2l0005,南宋館閣錄,Nán Sòng guǎngé lù,Record of the Southern Sòng Imperial Library,1177,1269,
KR2l0006,玉堂雜記,Yùtáng zájì,Miscellany of the Jade Hall,1182,1182,
KR2l0007,宋宰輔編年錄,Sòng zǎifǔ biānnián lù,Year-by-Year Record of Sòng Grand Councillors and Co-Adjutors,1215,1257,
KR2l0008,祕書監志,Mìshū jiàn zhì,Gazetteer of the Imperial Library Directorate,1340,1352,
KR2l0009,翰林記,Hànlín jì,Records of the Hànlín Academy,1530,1566,
KR2l0010,禮部志稿,Lǐbù zhìgǎo,Draft Gazetteer of the Ministry of Rites,1620,1620,
KR2l0011,太常續考,Tàicháng xùkǎo,Continuation of the Studies on the Court of Imperial Sacrifices,1628,1644,
KR2l0012,土官底簿,Tǔguān dǐbù,Master Roster of Native Chieftain Posts,1500,1521,
KR2l0013,詞林典故,Cílín diǎngù,Precedents of the Forest of Wordsmiths (Hànlín Academy),1744,1747,
KR2l0014,欽定國子監志,Qīndìng Guózǐjiàn zhì,Imperially Approved Gazetteer of the Directorate of Education,1778,1785,
KR2l0015,欽定歷代職官表,Qīndìng lìdài zhíguān biǎo,Imperially Approved Tables of Official Posts through the Ages,1780,1780,
KR2l0016,州縣提綱,Zhōuxiàn tígāng,Outline for Prefectural and County Magistrates,1170,1300,
KR2l0017,官箴,Guānzhēn,Admonitions to Officials,1100,1145,
KR2l0018,百官箴,Bǎiguān zhēn,Admonitions for the Hundred Offices,1260,1285,
KR2l0019,作邑自箴,Zuòyì zìzhēn,Self-Admonitions for Holding a County,1117,1117,
KR2l0020,晝簾緒論,Zhòulián xùlùn,Discussions from Behind the Day-Curtain,1235,1253,
KR2l0021,三事忠告,Sān shì zhōnggào,Loyal Counsels for the Three Offices,1308,1329,
KR2l0022,御定人臣儆心錄,Yùdìng rénchén jǐngxīn lù,Imperially Approved Record of Vigilance for the Heart of the Servant,1655,1655,
KR2m,,,,,,
KR2m0001,通典,Tōngdiǎn,Encyclopedic History of the Institutions of Government,766,801,
KR2m0002,唐會要,Táng Huìyào,Essential Documents and Regulations of the Táng,961,961,
KR2m0003,五代會要,Wǔdài Huìyào,Essential Documents and Regulations of the Five Dynasties,961,961,
KR2m0004,宋朝事實,Sòngcháo Shìshí,Institutional Records of the Sòng Dynasty,1119,1149,
KR2m0005,建炎以來朝野雜記,Jiànyán Yǐlái Cháoyě Zájì,Miscellaneous Records of Court and Country since the Jiànyán Era,1202,1216,
KR2m0006,西漢會要,XīHàn Huìyào,Essential Documents and Regulations of the Former Hàn,1211,1211,
KR2m0007,東漢會要,DōngHàn Huìyào,Essential Documents and Regulations of the Later Hàn,1226,1226,
KR2m0008,漢制考,Hàn Zhì Kǎo,Investigation of Hàn Institutions,1240,1296,
KR2m0009,文獻通考,Wénxiàn Tōngkǎo,Comprehensive Examination of Authoritative Documents,1280,1319,
KR2m0010,明會典,Míng Huìdiǎn,Collected Statutes of the Míng,1497,1509,
KR2m0011,七國考,Qīguó Kǎo,Investigation of the Seven Kingdoms,1640,1686,
KR2m0012,欽定大清會典,Qīndìng Dà Qīng Huìdiǎn,Imperially Authorized Collected Statutes of the Great Qīng,1764,1764,
KR2m0013,欽定大清會典則例,Qīndìng Dà Qīng Huìdiǎn Zélì,Imperially Authorized Sub-Statute Precedents of the Great Qīng,1764,1764,
KR2m0014,欽定續文獻通考,Qīndìng Xù Wénxiàn Tōngkǎo,Imperially Authorized Continuation of the Wénxiàn Tōngkǎo,1747,1747,
KR2m0015,皇朝文獻通考,Huángcháo Wénxiàn Tōngkǎo,Wénxiàn Tōngkǎo of the Reigning Dynasty,1747,1786,
KR2m0016,欽定續通典,Qīndìng Xù Tōngdiǎn,Imperially Authorized Continuation of the Tōngdiǎn,1767,1772,
KR2m0017,欽定皇朝通典,Qīndìng Huángcháo Tōngdiǎn,Imperially Authorized Tōngdiǎn of the Reigning Dynasty,1767,1787,
KR2m0018,欽定皇朝通志,Qīndìng Huángcháo Tōngzhì,Imperially Authorized Tōngzhì of the Reigning Dynasty,1767,1787,
KR2m0019,元朝典故編年考,Yuáncháo Diǎngù Biānnián Kǎo,Chronological Investigation of Yuán Institutional Precedents,1644,1676,
KR2m0020,漢官舊儀,Hàn Guān Jiùyí,Old Protocols of the Hàn Officials,25,100,
KR2m0021,大唐開元禮,Dà Táng Kāiyuán Lǐ,Ritual Code of the Great Táng of the Kāiyuán Era,732,732,
KR2m0022,謚法,Shìfǎ,Code of Posthumous Names,1064,1066,
KR2m0023,政和五禮新儀,Zhènghé Wǔlǐ Xīnyí,"New Ritual Code of the Five Rites, Zhènghé Era",1111,1113,
KR2m0024,紹熙州縣釋奠儀圖,Shàoxī Zhōuxiàn Shìdiàn Yítú,"Diagrams and Protocols for the Prefectural and County Shìdiàn Sacrifice, Shàoxī Era",1194,1194,
KR2m0025,大金集體,Dà Jīn Jí Lǐ,Collected Rituals of the Great Jīn,1190,1195,
KR2m0026,大金德運圖說,Dà Jīn Déyùn Túshuō,Diagrammatic Discussion of the Great Jīn's Cyclical Power,1214,1214,
KR2m0027,廟學典禮,Miàoxué Diǎnlǐ,Statutory Rituals of the Temple-and-School,1237,1307,
KR2m0028,明集禮,Míng Jí Lǐ,Collected Rituals of the Míng,1369,1530,
KR2m0029,頖宮禮樂疏,Pàngōng Lǐyuè Shū,Annotated Manual of the Confucius-Temple Music and Ritual,1610,1620,
KR2m0030,明臣謚考,Míngchén Shì Kǎo,Investigation of Posthumous Names Conferred on Míng Officials,1595,1610,
KR2m0031,明謚紀彙編,Míng Shì Jì Huìbiān,Compendium of Míng-Period Posthumous-Name Records,1610,1644,
KR2m0032,明宮史,Míng Gōng Shǐ,Records of the Míng Palace,1644,1660,
KR2m0033,幸魯盛典,Xìnglǔ Shèngdiǎn,Grand Record of the Imperial Visit to Lǔ,1685,1707,
KR2m0034,萬壽盛典初集,Wànshòu Shèngdiǎn Chūjí,First Compilation of the Grand Records of the Sixtieth-Birthday Festival,1713,1717,
KR2m0035,欽定大清通禮,Qīndìng Dà Qīng Tōnglǐ,Imperially Authorized Complete Ritual Code of the Great Qīng,1736,1756,
KR2m0036,皇朝禮器圖式,Huángcháo Lǐqì Túshì,Imperial-Authorized Diagrams of Ritual Implements of the Reigning Dynasty,1759,1766,
KR2m0037,國朝宮史,Guócháo Gōng Shǐ,Records of the Reigning Dynasty's Palace,1742,1761,
KR2m0038,欽定滿洲祭神祭天典禮,Qīndìng Mǎnzhōu Jìshén Jìtiān Diǎnlǐ,Imperially Authorized Ritual Code of the Manchu Spirit-and-Heaven Sacrifice,1747,1777,
KR2m0039,欽定南巡盛典,Qīndìng Nánxún Shèngdiǎn,Imperially Authorized Grand Records of the Southern Tours,1770,1771,
KR2m0040,八旬萬壽盛典,Bāxún Wànshòu Shèngdiǎn,Grand Records of the Eightieth-Birthday Festival,1789,1792,
KR2m0041,歷代建元考,Lìdài Jiànyuán Kǎo,Investigation of Reign-Title Establishments through the Ages,1660,1700,
KR2m0042,北郊配位尊西向議,Běijiāo Pèiwèi Zūn Xīxiàng Yì,A Discussion of the Westward-Facing Co-Sacrificial Placement at the Northern Suburban Altar,1685,1685,
KR2m0043,廟制圖考,Miàozhì Tú Kǎo,"Investigation of Ancestral-Temple Plans, with Diagrams",1670,1702,
KR2m0044,救荒活民書,Jiùhuāng Huómín Shū,Famine Relief and Saving the People,1184,1184,
KR2m0045,熬波圖,Áobō Tú,Diagrams of Boiling-the-Brine [Salt Manufacture],1334,1335,
KR2m0046,錢通,Qián Tōng,Comprehensive Treatise on Money,1620,1644,
KR2m0047,捕蝗考,Bǔ Huáng Kǎo,Investigation of Locust-Catching,1660,1700,
KR2m0048,荒政叢書,Huāngzhèng Cóngshū,Compendium of Famine-Relief Administration,1690,1690,
KR2m0049,欽定康濟錄,Qīndìng Kāngjì Lù,Imperially Authorized Records of Health-Bringing Relief,1739,1739,
KR2m0050,歷代兵制,Lìdài Bīngzhì,Military Systems through the Ages,1170,1203,
KR2m0051,補漢兵志,Bǔ Hàn Bīngzhì,Supplementary Treatise on Hàn Military Institutions,1192,1214,
KR2m0052,馬政紀,Mǎ Zhèng Jì,Records of Horse Administration,1595,1609,
KR2m0053,欽定八旗通志,Qīndìng Bāqí Tōngzhì,Imperially Commissioned Comprehensive Treatise on the Eight Banners,1779,1796,
KR2m0054,唐律疏義,Táng Lǜ Shūyì,The Tang Code with Commentary,651,653,
KR2m0055,大清律例,Dà Qīng Lǜlì,The Great Qīng Code with Substatutes,1740,1768,
KR2m0056,營造法式,Yíngzào Fǎshì,Building Standards,1097,1103,
KR2m0057,欽定武英殿聚珍版程式,Qīndìng Wǔyīng Diàn Jùzhēnbǎn Chéngshì,"Imperially-Commissioned Manual for the Wǔyīng-Hall ""Assembled Treasures"" Movable-Type System",1773,1776,
KR2n,,,,,,
KR2n0001,崇文總目,Chóngwén zǒngmù,,1041,1781,
KR2n0002,郡齋讀書志,Jùnzhāi dúshū zhì,Reading Notes from the Commandery Studio,1151,1250,
KR2n0003,遂初堂書目,Suìchūtáng shūmù,Catalogue of the Hall of Following One's Original Intent,1180,1194,
KR2n0004,子略,Zǐlüè,A Précis of the Masters,1184,1231,
KR2n0005,直齋書錄解題,Zhízhāi shūlù jiětí,Critical Notes on Books from the Upright Studio,1234,1249,
KR2n0006,漢藝文志考證,Hàn Yìwénzhì kǎozhèng,Examined Evidence on the Bibliographic Treatise of the Hànshū,1260,1296,
KR2n0007,文淵閣書目,Wényuàngé shūmù,Catalogue of the Wényuàn Pavilion,1441,1441,
KR2n0008,授經圖義例,Shòujīngtú yìlì,"Diagrams of the Transmission of the Classics, with General Principles",1560,1586,
KR2n0009,欽定天祿琳琅書目,Qīndìng Tiānlù línláng shūmù,Imperially Endorsed Catalogue of the Tiānlù Línláng [Heavenly-Stipend Pearl-Forest] Collection,1775,1775,
KR2n0010,千頃堂書目,Qiānqǐngtáng shūmù,Catalogue of the Qiānqǐng Studio,1670,1691,
KR2n0011,經義考,Jīngyì kǎo,An Investigation of the Meaning of the Classics,1695,1709,
KR2n0012,集古錄,Jígǔ lù,Collected Records of Ancient Inscriptions,1061,1069,
KR2n0013,金石錄,Jīnshí lù,Records of Bronze and Stone,1117,1132,
KR2n0014,法帖刋誤,Fǎtiè kānwù,Corrections of Errors in the Calligraphic Models,1108,1108,
KR2n0015,法帖釋文,Fǎtiè shìwén,Transcriptions of the Calligraphic Models,1086,1102,
KR2n0016,籀史,Zhòushǐ,A History of [Antique-Script] Inscriptions,1142,1142,
KR2n0017,隸釋,Lìshì,Explanations of [Hàn] Clerical-Script [Inscriptions],1166,1167,
KR2n0018,隸續,Lìxù,Continuations to the [Lìshì] Hàn-Clerical-Script [Compendium],1168,1181,
KR2n0019,絳帖平,Jiàngtiè píng,Adjudication of the Jiàng Anthology,1203,1203,
KR2n0020,石刻鋪敍,Shíkè pūxù,A Comprehensive Account of Stone Inscriptions,1248,1248,
KR2n0021,法帖譜系,Fǎtiè pǔxì,A Genealogy of the Calligraphy Anthologies,1245,1245,
KR2n0022,蘭亭考,Lántíng kǎo,An Investigation of the Orchid Pavilion [Preface],1200,1220,
KR2n0023,蘭亭續考,Lántíng xùkǎo,Continuation of the Investigation of the Orchid Pavilion [Preface],1244,1244,
KR2n0024,寶刻叢編,Bǎokè cóngbiān,Compendium of Precious Inscriptions,1231,1231,
KR2n0025,輿地碑記目,Yúdì bēijì mù,Catalogue of Stelae According to Geography,1196,1227,
KR2n0026,寶刻類編,Bǎokè lèibiān,Inscriptions Classified by Type,1230,1278,
KR2n0027,古刻叢鈔,Gǔkè cóngchāo,Compendium of Transcriptions of Ancient Inscriptions,1360,1370,
KR2n0028,名蹟錄,Míngjì lù,Records of Renowned Inscriptions,1370,1380,
KR2n0029,吳中金石新編,Wúzhōng jīnshí xīnbiān,A New Compilation of Sūzhōu Inscriptions,1488,1505,
KR2n0030,金薤琳琅,Jīnxiè línláng,Bronze Brilliance and Pearly Splendour,1499,1525,
KR2n0031,法帖釋文考異,Fǎtiè shìwén kǎoyì,Critical Examination of Variants in the Calligraphic-Models' Transcriptions,1567,1588,
KR2n0032,金石林時地考,Jīnshílín shídì kǎo,Investigation of Periods and Places in the Forest of Inscriptions,1620,1640,
KR2n0033,石墨鐫華,Shímò juānhuā,Stone-Ink Engravings' Splendour,1585,1620,
KR2n0034,金石史,Jīnshí shǐ,A History of Bronze and Stone [Inscriptions],1620,1650,
KR2n0035,欽定重刻淳化閣帖釋文,Qīndìng chóngkè Chúnhuàgé tiè shìwén,"Imperially Endorsed Re-cut Calligraphic-Models' Transcriptions, with Corrections",1769,1769,
KR2n0036,求古錄,Qiúgǔ lù,A Search for Antiquity,1660,1682,
KR2n0037,金石文字記,Jīnshí wénzì jì,Notes on Inscriptions in Bronze and Stone,1660,1682,
KR2n0038,石經考,Shíjīng kǎo,Investigation of the Stone Classics,1660,1682,
KR2n0039,萬氏石經考,Wànshì Shíjīng kǎo,Mr. Wàn's Investigation of the Stone Classics,1670,1702,
KR2n0040,來齋金石刻考略,Láizhāi jīnshí kè kǎolüè,"Brief Investigations of Inscriptions in Bronze and Stone, from the Studio of Future-Reflection",1680,1714,
KR2n0041,崇陽石刻集記,Sōngyáng shíkè jíjì,Compiled Records of the Stone Inscriptions of the South Slope of Mount Sōng,1673,1687,
KR2n0042,金石文考略,Jīnshí wén kǎolüè,Brief Investigations of the Inscriptions in Bronze and Stone,1729,1729,
KR2n0043,分隸偶存,Fēnlì ǒucún,Occasional Records on Clerical Script,1703,1741,
KR2n0044,淳化祕閣法帖考正,Chúnhuà mìgé fǎtiè kǎozhèng,Critical Examination of the Imperial Cabinet's Chúnhuà Calligraphy Anthology,1711,1743,
KR2n0045,竹雲題跋,Zhúyún tíbá,Colophons from the Bamboo-Cloud Studio,1711,1743,
KR2n0046,金石經眼錄,Jīnshí jīngyǎn lù,Records of Inscriptions Personally Examined,1736,1736,
KR2n0047,石經考異,Shíjīng kǎoyì,Critical Examination of Variants in the Stone Classics,1730,1773,
KR2o,,,,,,
KR2o0001,史通,Shǐtōng,Comprehensive Treatise on Historiography,710,722,
KR2o0002,史通通釋,Shǐtōng tōngshì,Comprehensive Annotation of the Shitong,1750,1750,
KR2o0003,唐鑑,Tángjiàn,The Tang Mirror,1086,1086,
KR2o0004,唐史論斷,Tángshǐ lùnduàn,Verdicts on the History of the Tang,1040,1056,
KR2o0005,唐書直筆,Tángshū zhíbǐ,Plain-Brush Notes for the New Tang History,1044,1060,
KR2o0006,通鑑問疑,Tōngjiàn wènyí,Queries on the Tongjian,1078,1093,
KR2o0007,三國雜事,Sānguó záshì,Miscellaneous Discussions of the Three Kingdoms,1109,1110,
KR2o0008,經幄管見,Jīngwò guǎnjiàn,Limited Views from the Lecturing Curtain,1219,1227,
KR2o0009,涉史隨筆,Shèshǐ suíbǐ,Random Notes on Reading the Histories,1184,1212,
KR2o0010,六朝通鑑博議,Liùcháo tōngjiàn bóyì,Broad Discussions of the Mirror of the Six Dynasties,1163,1184,
KR2o0011,宋大事記講義,Sòng dàshìjì jiǎngyì,Lectures on the Grand Records of Song Affairs,1247,1252,
KR2o0012,兩漢筆記,LiǎngHàn bǐjì,Notes on the Two Han Histories,1230,1238,
KR2o0013,舊聞證誤,Jiùwén zhèngwù,Verifying Errors in Records of the Past,1208,1235,
KR2o0014,通鑑答問,Tōngjiàn dáwèn,Questions and Answers on the Tongjian,1270,1296,
KR2o0015,歷代名賢確論,Lìdài míngxián quèlùn,Authoritative Discussions of Worthies through the Ages,1100,1224,
KR2o0016,歷代通略,Lìdài tōnglüè,A General Outline of Successive Dynasties,1310,1310,
KR2o0017,十七史纂古今通要,Shíqī shǐ zuǎn gǔjīn tōngyào,"Compiled Essentials of the Seventeen Histories, Ancient and Modern",1302,1302,
KR2o0018,學史,Xuéshǐ,Studying History,1500,1518,
KR2o0019,史糾,Shǐjiū,Correcting the Histories,1635,1652,
KR2o0020,御批資治通鑑綱目,Yùpī Zīzhì tōngjiàn gāngmù,"The Imperially Annotated Comprehensive Mirror, in Outline-and-Detail Form",1172,1708,
KR2o0021,御批資治通鑑綱目前編,Yùpī Zīzhì tōngjiàn gāngmù qián biān,"The Imperially Annotated Tongjian Gangmu, Earlier Compilation",1273,1708,
KR2o0022,御批續資治通鑑綱目,Yùpī Xù Zīzhì tōngjiàn gāngmù,"The Imperially Annotated Tongjian Gangmu, Continued",1476,1782,
KR2o0023,評鑑闡要,Píngjiàn chǎnyào,Elucidation of Essentials from the Imperial Comments on the Mirror,1768,1771,
KR2o0024,欽定古今儲貳金鑑,Qīndìng gǔjīn chǔ'èr jīnjiàn,Imperially Decreed Golden Mirror of Crown-Prince Successions Past and Present,1783,1783,
KR2o0025,文史通義,Wénshǐ tōngyì,General Principles of Literature and History,1771,1801,
KR2p,,,,,,
KR2p0015,合陰陽,Hé yīnyáng,Joining Yin and Yang,-300,-168,
KR2p0021,五行,Wǔxíng,The Five Conducts,-350,-300,
KR2p0024,成之聞之,Chéng zhī wén zhī,,-350,-300,
KR3a,,,,,,
KR3a0001,孔子家語,Kǒngzǐ jiāyǔ,Sayings of the Confucian School,220,256,
KR3a0002,荀子,Xúnzǐ,The Master Xún,-280,-238,
KR3a0003,孔叢子,Kǒng cóngzǐ,The Kǒng-Family Anthology,200,300,
KR3a0004,新語,Xīnyǔ,New Discourses,-202,-195,
KR3a0005,新書,Xīnshū,The New Book,-178,-168,
KR3a0006,鹽鐵論,Yántiě lùn,Discourses on Salt and Iron,-73,-49,
KR3a0007,說苑,Shuōyuàn,Garden of Persuasions,-23,-17,
KR3a0008,新序,Xīnxù,New Compilations,-24,-23,
KR3a0009,揚子法言,Yángzǐ Fǎ yán,Master Yáng's* Model Sayings — *with Collected Commentaries,1,18,
KR3a0010,潛夫論,Qiánfū lùn,Discourses of a Recluse,130,162,
KR3a0011,申鑒,Shēn jiàn,Extended Reflections,198,209,
KR3a0012,中論,Zhōng lùn,Discourses of the Mean,200,217,
KR3a0013,傅子,Fùzǐ,The Master Fù,250,278,
KR3a0014,中說,Zhōng shuō,Discourses of the Mean,617,700,
KR3a0015,孫子集注,Sūnzǐ jízhù,The* Sūn-zǐ — *Collected Commentaries,1100,1200,
KR3a0016,帝範,Dì fàn,Model for an Emperor,648,648,
KR3a0017,續孟子,Xù Mèngzǐ,,870,880,
KR3a0018,伸蒙子,Shēnméngzǐ,Master Shēn-méng,870,880,
KR3a0019,素履子,Sùlǚzǐ,The Master of Plain Tread,850,906,
KR3a0020,家範,Jiā fàn,Family Model,1071,1086,
KR3a0021,帝學,Dì xué,Imperial Studies,1086,1093,
KR3a0022,儒志編,Rú zhì biān,The* Rú-Zhì *Compilation,1055,1068,
KR3a0023,太極圖說述解,Tàijí tú shuō shùjiě,,1410,1428,
KR3a0024,西銘述解,Xīmíng shùjiě,,1410,1434,
KR3a0025,通書述解,Tōngshū shùjiě,,1410,1434,
KR3a0026,張子全書,Zhāngzǐ quánshū,The Master Zhāng — Complete Works,1058,1077,
KR3a0027,張子語錄,Zhāngzǐ yǔlù,The Recorded Sayings of Master Zhāng,1058,1077,
KR3a0028,注解正蒙,Zhù jiě Zhèng méng,,1670,1718,
KR3a0029,正蒙初義,Zhèng méng chū yì,,1721,1767,
KR3a0030,二程遺書,ÈrChéng yíshū,The Bequeathed Writings of the Two Chéng,1085,1168,
KR3a0031,二程外書,ÈrChéng wàishū,The Outer Writings of the Two Chéng,1085,1173,
KR3a0032,二程粹言,ÈrChéng cuìyán,Distilled Sayings of the Two Chéng,1107,1135,
